Pn,Ps,Dn,Ds,Gene,NI
151,466,87,155,OG0003576_codon_alignment,0.5773025504415175
18,140,4,70,OG0003584_codon_alignment,2.25
22,287,21,134,OG0003577_codon_alignment,0.48913223826115804
35,225,16,91,OG0003583_codon_alignment,0.8847222222222222
264,578,90,229,OG0003578_codon_alignment,1.162168396770473
24,267,26,99,OG0003582_codon_alignment,0.3422644770959377
43,108,27,53,OG0003579_codon_alignment,0.7815500685871056
217,748,116,237,OG0003581_codon_alignment,0.5927185137377835
91,442,61,181,OG0003580_codon_alignment,0.6108968177434908
53,216,23,102,OG0004804_codon_alignment,1.0881642512077294
106,383,58,181,OG0004772_codon_alignment,0.8636895651391014
105,346,50,168,OG0004802_codon_alignment,1.0196531791907515
36,258,39,109,OG0004774_codon_alignment,0.3899821109123434
527,653,353,301,OG0004801_codon_alignment,0.6881596814007263
63,341,46,176,OG0004776_codon_alignment,0.7068723702664798
77,393,55,158,OG0004737_codon_alignment,0.5628498727735368
180,622,103,239,OG0004777_codon_alignment,0.6714950207598414
115,407,53,176,OG0004736_codon_alignment,0.9382967873533911
22,118,13,37,OG0004778_codon_alignment,0.5306388526727509
70,351,47,166,OG0004735_codon_alignment,0.7043704916045341
173,206,110,88,OG0004779_codon_alignment,0.6718446601941748
94,211,53,83,OG0004734_codon_alignment,0.6976661003308594
68,308,44,140,OG0004780_codon_alignment,0.7024793388429752
54,212,60,102,OG0004796_codon_alignment,0.43301886792452826
87,166,58,65,OG0004781_codon_alignment,0.5873493975903614
231,266,140,131,OG0004795_codon_alignment,0.8125939849624061
68,299,44,151,OG0004782_codon_alignment,0.7804803891760413
17,249,11,94,OG0004794_codon_alignment,0.5834246075209931
300,414,91,151,OG0004783_codon_alignment,1.202420767638159
163,567,91,238,OG0004793_codon_alignment,0.7518654185320852
173,346,113,163,OG0004784_codon_alignment,0.7212389380530974
89,220,48,93,OG0004792_codon_alignment,0.7838068181818182
416,797,138,269,OG0004785_codon_alignment,1.0174385830923935
112,220,67,109,OG0004791_codon_alignment,0.8282225237449118
84,305,23,153,OG0004786_codon_alignment,1.832074126870991
37,149,17,82,OG0004790_codon_alignment,1.197789182787209
360,307,154,129,OG0004787_codon_alignment,0.9822750539362919
122,286,59,119,OG0004789_codon_alignment,0.8603769112243688
177,533,147,255,OG0004788_codon_alignment,0.576061569092928
133,245,104,121,OG0005749_codon_alignment,0.6315934065934066
158,333,97,138,OG0005713_codon_alignment,0.6750255410049225
88,130,46,71,OG0005747_codon_alignment,1.0448160535117057
101,280,64,141,OG0005714_codon_alignment,0.7946986607142857
36,141,30,66,OG0005746_codon_alignment,0.5617021276595744
179,497,99,244,OG0005715_codon_alignment,0.8876694510497328
529,886,362,355,OG0005672_codon_alignment,0.5855199980045646
465,223,150,88,OG0005716_codon_alignment,1.223318385650224
74,234,52,101,OG0005670_codon_alignment,0.6142340565417488
19,105,8,55,OG0005717_codon_alignment,1.244047619047619
91,231,82,122,OG0005669_codon_alignment,0.5861049519586105
463,678,201,278,OG0005718_codon_alignment,0.944495810035369
211,368,118,149,OG0005668_codon_alignment,0.7240005526897569
205,181,98,69,OG0005719_codon_alignment,0.7974405231705942
115,493,65,168,OG0005740_codon_alignment,0.6029021688250897
179,186,106,93,OG0005720_codon_alignment,0.8443396226415094
593,707,303,293,OG0005739_codon_alignment,0.8110736108971576
90,314,53,120,OG0005721_codon_alignment,0.6489604614829948
302,420,190,173,OG0005738_codon_alignment,0.6547117794486216
537,458,156,168,OG0005722_codon_alignment,1.2626805508901577
241,195,120,78,OG0005733_codon_alignment,0.8033333333333333
180,263,86,92,OG0005723_codon_alignment,0.7321602263683791
449,298,213,115,OG0005732_codon_alignment,0.813482685824117
379,489,214,215,OG0005725_codon_alignment,0.7786728589721538
176,408,81,155,OG0005731_codon_alignment,0.8254659888646817
73,94,30,27,OG0005726_codon_alignment,0.6989361702127659
258,680,152,268,OG0005730_codon_alignment,0.6689628482972136
806,769,339,306,OG0005727_codon_alignment,0.9460855955901813
59,169,30,66,OG0005729_codon_alignment,0.7680473372781066
79,168,50,66,OG0005728_codon_alignment,0.6207142857142857
96,171,38,71,OG0004075_codon_alignment,1.048938134810711
33,286,41,122,OG0004011_codon_alignment,0.3433395872420263
137,260,59,127,OG0004074_codon_alignment,1.1342242503259452
56,336,35,166,OG0004012_codon_alignment,0.7904761904761903
62,169,30,76,OG0004073_codon_alignment,0.9293885601577909
152,483,88,201,OG0004013_codon_alignment,0.7188029361942405
124,454,81,184,OG0004072_codon_alignment,0.6204383531843151
320,205,108,60,OG0004014_codon_alignment,0.8672086720867209
81,514,49,246,OG0003461_codon_alignment,0.7911538156118478
12,120,19,53,OG0004015_codon_alignment,0.27894736842105267
171,352,67,138,OG0003460_codon_alignment,1.0005936227951153
79,226,67,113,OG0004016_codon_alignment,0.5895522388059701
62,162,46,65,OG0003459_codon_alignment,0.5407944176060118
49,338,37,165,OG0004017_codon_alignment,0.6464896849512234
64,309,37,130,OG0003458_codon_alignment,0.7277180092714074
36,287,28,111,OG0004018_codon_alignment,0.49726231956197114
496,438,221,201,OG0004035_codon_alignment,1.0299386350957664
81,331,54,165,OG0004020_codon_alignment,0.7477341389728096
218,380,102,173,OG0004033_codon_alignment,0.9730134158926728
256,558,112,231,OG0004021_codon_alignment,0.9462365591397849
184,285,137,129,OG0004032_codon_alignment,0.6079139454475605
212,386,102,161,OG0004022_codon_alignment,0.8669104947678553
160,335,100,170,OG0004031_codon_alignment,0.8119402985074626
114,488,86,189,OG0004023_codon_alignment,0.5133911551658407
71,138,31,51,OG0004030_codon_alignment,0.8464235624123422
97,39,22,14,OG0004024_codon_alignment,1.5827505827505828
78,148,63,72,OG0004029_codon_alignment,0.6023166023166022
121,246,67,94,OG0004026_codon_alignment,0.6900861545928892
292,343,151,168,OG0004028_codon_alignment,0.9471550209487768
114,97,53,47,OG0004027_codon_alignment,1.0422096868313557
174,448,95,213,OG0003465_codon_alignment,0.8708176691729324
202,221,124,75,OG0003499_codon_alignment,0.5528390016056051
45,356,36,157,OG0003464_codon_alignment,0.5512640449438202
650,3184,308,1214,OG0003500_codon_alignment,0.8046523200417673
51,415,33,191,OG0003463_codon_alignment,0.7112814895947427
134,314,47,110,OG0003501_codon_alignment,0.9987803225369292
243,352,132,149,OG0003462_codon_alignment,0.7792484504132231
128,303,71,139,OG0003502_codon_alignment,0.827034816157672
165,184,72,56,OG0003527_codon_alignment,0.697463768115942
177,285,107,135,OG0003503_codon_alignment,0.7835710772257748
536,1093,262,464,OG0003526_codon_alignment,0.8684829902991277
205,421,108,164,OG0003504_codon_alignment,0.7394211313451218
262,548,117,244,OG0003524_codon_alignment,0.9970678145860629
61,383,33,137,OG0003505_codon_alignment,0.6612073740011076
183,247,60,91,OG0003523_codon_alignment,1.1236842105263158
185,601,112,230,OG0003507_codon_alignment,0.6321309721892084
111,236,73,108,OG0003522_codon_alignment,0.6958439749245414
264,210,136,108,OG0003508_codon_alignment,0.9983193277310923
155,283,65,126,OG0003521_codon_alignment,1.061701549334058
64,631,50,239,OG0003509_codon_alignment,0.4848177496038035
110,238,48,110,OG0003520_codon_alignment,1.0591736694677871
505,577,340,260,OG0003510_codon_alignment,0.6692833112447752
37,133,23,77,OG0003519_codon_alignment,0.931350114416476
79,151,39,57,OG0003511_codon_alignment,0.7646459500764137
49,350,24,143,OG0003518_codon_alignment,0.8341666666666667
229,330,108,146,OG0003513_codon_alignment,0.9381032547699215
145,153,75,62,OG0003517_codon_alignment,0.7834422657952069
91,284,32,87,OG0003514_codon_alignment,0.8711487676056339
160,493,113,215,OG0003516_codon_alignment,0.6174944802455617
135,205,90,116,OG0003515_codon_alignment,0.8487804878048781
331,249,140,122,OG0004112_codon_alignment,1.1584050487664947
164,565,95,245,OG0004146_codon_alignment,0.7485794131346064
337,645,203,241,OG0004111_codon_alignment,0.6202848741742085
325,582,149,204,OG0004147_codon_alignment,0.7645471528402409
53,268,26,108,OG0004110_codon_alignment,0.8214695752009185
94,231,63,92,OG0004149_codon_alignment,0.59424173709888
206,461,133,210,OG0004109_codon_alignment,0.7055599954332686
332,575,153,233,OG0004150_codon_alignment,0.8792952543336175
30,157,24,62,OG0004108_codon_alignment,0.4936305732484077
164,565,60,215,OG0004151_codon_alignment,1.040117994100295
53,414,23,177,OG0004107_codon_alignment,0.985192186515438
162,273,78,118,OG0004153_codon_alignment,0.8977176669484361
94,577,73,203,OG0004105_codon_alignment,0.4530281807174569
134,227,68,99,OG0004155_codon_alignment,0.8594195387406065
119,355,83,159,OG0004104_codon_alignment,0.6421517054132021
188,191,123,91,OG0004156_codon_alignment,0.7282169156770102
166,570,126,262,OG0004171_codon_alignment,0.6055694792536898
226,359,127,149,OG0004157_codon_alignment,0.7385782905270547
152,210,79,85,OG0004170_codon_alignment,0.7787823990355636
379,582,207,227,OG0004158_codon_alignment,0.7141208891545064
37,160,10,63,OG0004169_codon_alignment,1.4568750000000001
689,868,363,305,OG0004159_codon_alignment,0.6669491310253773
20,71,8,40,OG0004168_codon_alignment,1.408450704225352
620,757,389,355,OG0004160_codon_alignment,0.7474369466810199
65,152,27,57,OG0004167_codon_alignment,0.9027777777777778
100,422,53,161,OG0004162_codon_alignment,0.7198426182598587
12,144,13,53,OG0004166_codon_alignment,0.3397435897435897
179,300,63,133,OG0004163_codon_alignment,1.2596296296296297
212,548,122,231,OG0004165_codon_alignment,0.7324997008495873
82,299,51,139,OG0004164_codon_alignment,0.74745884976064
196,543,106,224,OG0004740_codon_alignment,0.7627784148163592
67,180,20,85,OG0004706_codon_alignment,1.5819444444444446
55,147,32,68,OG0004739_codon_alignment,0.7950680272108844
86,314,56,163,OG0004707_codon_alignment,0.7972020018198361
69,205,39,89,OG0004738_codon_alignment,0.7681050656660413
4,50,6,25,OG0004708_codon_alignment,0.33333333333333337
1082,907,476,350,OG0004667_codon_alignment,0.8771645372592255
57,346,40,165,OG0004709_codon_alignment,0.6795520231213873
108,414,59,174,OG0004666_codon_alignment,0.7693441414885778
46,174,35,86,OG0004711_codon_alignment,0.6495894909688014
156,215,57,91,OG0004665_codon_alignment,1.1583843329253367
102,113,21,37,OG0004712_codon_alignment,1.5903919089759797
26,139,15,67,OG0004664_codon_alignment,0.8354916067146283
121,360,35,157,OG0004713_codon_alignment,1.5076984126984128
33,195,30,77,OG0004733_codon_alignment,0.43435897435897436
340,360,127,156,OG0004714_codon_alignment,1.1601049868766404
113,576,17,236,OG0004732_codon_alignment,2.7234477124183005
95,170,39,76,OG0004716_codon_alignment,1.0889894419306183
151,204,143,90,OG0004731_codon_alignment,0.46585767174002474
81,287,36,112,OG0004717_codon_alignment,0.8780487804878049
99,479,62,172,OG0004730_codon_alignment,0.5733719442386693
55,154,12,59,OG0004718_codon_alignment,1.755952380952381
87,77,34,26,OG0004729_codon_alignment,0.86401833460657
87,270,60,136,OG0004719_codon_alignment,0.7303703703703704
19,166,10,69,OG0004726_codon_alignment,0.7897590361445782
162,415,84,167,OG0004720_codon_alignment,0.7760757314974183
288,305,177,111,OG0004725_codon_alignment,0.592164490136149
159,584,134,255,OG0004721_codon_alignment,0.5181072377836843
169,243,100,101,OG0004724_codon_alignment,0.7024279835390947
232,404,119,165,OG0004723_codon_alignment,0.7962392877943256
55,112,12,55,OG0005315_codon_alignment,2.2507440476190474
212,309,113,143,OG0005282_codon_alignment,0.8682303748890224
235,615,109,270,OG0005313_codon_alignment,0.9465204743790557
109,515,69,206,OG0005283_codon_alignment,0.6318840579710145
44,276,40,124,OG0005312_codon_alignment,0.49420289855072463
104,126,45,57,OG0005285_codon_alignment,1.0455026455026455
129,235,116,97,OG0005245_codon_alignment,0.45902421129860604
250,856,159,368,OG0005286_codon_alignment,0.6759536824781051
60,38,18,17,OG0005244_codon_alignment,1.4912280701754386
469,652,193,251,OG0005287_codon_alignment,0.9354954067198575
168,196,60,78,OG0005242_codon_alignment,1.114285714285714
60,84,13,30,OG0005288_codon_alignment,1.6483516483516483
77,274,31,135,OG0005241_codon_alignment,1.2238050388509536
115,343,51,109,OG0005289_codon_alignment,0.7165723432230034
228,437,125,177,OG0005307_codon_alignment,0.7387826086956522
88,211,40,97,OG0005291_codon_alignment,1.0113744075829383
597,405,272,142,OG0005305_codon_alignment,0.7695533769063181
260,501,130,224,OG0005292_codon_alignment,0.8942115768463073
94,180,63,95,OG0005304_codon_alignment,0.787477954144621
76,155,57,80,OG0005293_codon_alignment,0.6881720430107526
102,220,37,93,OG0005303_codon_alignment,1.1653562653562655
156,298,116,139,OG0005294_codon_alignment,0.6272853506132839
8,140,11,45,OG0005302_codon_alignment,0.23376623376623376
66,188,34,105,OG0005295_codon_alignment,1.0841677096370463
79,195,32,85,OG0005301_codon_alignment,1.076121794871795
273,432,128,192,OG0005296_codon_alignment,0.9479166666666666
114,214,44,97,OG0005300_codon_alignment,1.1743840271877655
208,370,102,164,OG0005297_codon_alignment,0.9038685744568098
248,558,123,228,OG0005299_codon_alignment,0.8238482384823848
181,847,103,329,OG0005298_codon_alignment,0.6825804380967664
770,986,411,411,OG0004639_codon_alignment,0.7809330628803245
79,319,59,122,OG0004606_codon_alignment,0.5120875617661124
117,364,42,151,OG0004638_codon_alignment,1.1556122448979593
132,236,66,91,OG0004607_codon_alignment,0.771186440677966
405,538,167,205,OG0004637_codon_alignment,0.9240812056185029
296,194,119,69,OG0004608_codon_alignment,0.8846920211383521
58,104,23,36,OG0004533_codon_alignment,0.8729096989966556
71,169,49,77,OG0004609_codon_alignment,0.6601859678782755
58,110,27,41,OG0004532_codon_alignment,0.8006734006734005
50,262,36,108,OG0004610_codon_alignment,0.5725190839694657
95,153,48,75,OG0004531_codon_alignment,0.9701797385620915
136,313,62,140,OG0004611_codon_alignment,0.9811398536535092
203,318,100,126,OG0004529_codon_alignment,0.8043396226415095
58,279,46,104,OG0004612_codon_alignment,0.47000155836060464
223,1025,124,424,OG0004631_codon_alignment,0.7439181746656176
86,284,57,110,OG0004614_codon_alignment,0.5843834939461329
526,970,369,343,OG0004629_codon_alignment,0.5040594529656637
385,914,191,346,OG0004615_codon_alignment,0.7630574999713589
247,725,157,265,OG0004628_codon_alignment,0.5750494179661761
374,401,177,177,OG0004616_codon_alignment,0.9326683291770573
367,310,184,132,OG0004627_codon_alignment,0.8492987377279102
78,128,40,64,OG0004617_codon_alignment,0.975
41,231,31,114,OG0004625_codon_alignment,0.6527021365731044
184,273,100,121,OG0004618_codon_alignment,0.8155311355311355
34,156,49,57,OG0004624_codon_alignment,0.25353218210361067
135,83,77,32,OG0004619_codon_alignment,0.6759505554686278
117,518,87,224,OG0004623_codon_alignment,0.5815470643056849
277,914,170,396,OG0004620_codon_alignment,0.7059595829579096
300,227,113,83,OG0004622_codon_alignment,0.9707223889906826
38,181,18,83,OG0004621_codon_alignment,0.9680785758133824
71,233,48,109,OG0003698_codon_alignment,0.6919706723891272
25,148,18,77,OG0003801_codon_alignment,0.7225975975975976
90,323,59,142,OG0003697_codon_alignment,0.6706197197880044
126,485,69,175,OG0003802_codon_alignment,0.6588973554459884
31,196,19,100,OG0003696_codon_alignment,0.8324382384532761
517,879,320,403,OG0003803_codon_alignment,0.7407245449374289
34,126,15,57,OG0003832_codon_alignment,1.0253968253968253
235,869,177,339,OG0003805_codon_alignment,0.5179341148017397
243,532,139,225,OG0003831_codon_alignment,0.7393709092876075
78,318,55,143,OG0003806_codon_alignment,0.6377358490566037
115,631,61,256,OG0003830_codon_alignment,0.7648541217427451
258,1291,174,516,OG0003808_codon_alignment,0.5926440342957878
72,483,83,220,OG0003829_codon_alignment,0.3951208560951882
326,514,213,212,OG0003809_codon_alignment,0.6312635867083173
130,367,64,166,OG0003828_codon_alignment,0.9187670299727521
240,240,56,80,OG0003810_codon_alignment,1.4285714285714286
266,487,146,210,OG0003825_codon_alignment,0.785631909088352
121,306,68,148,OG0003811_codon_alignment,0.860630526720492
38,64,26,28,OG0003823_codon_alignment,0.6394230769230769
251,494,112,186,OG0003812_codon_alignment,0.8438042220936957
105,445,46,170,OG0003822_codon_alignment,0.8720078163165609
45,65,20,29,OG0003813_codon_alignment,1.0038461538461538
57,212,36,111,OG0003821_codon_alignment,0.8290094339622641
380,286,183,144,OG0003814_codon_alignment,1.0455118651839965
112,353,48,148,OG0003820_codon_alignment,0.9782813975448535
52,214,29,95,OG0003815_codon_alignment,0.7960038672252658
73,292,40,144,OG0003819_codon_alignment,0.8999999999999999
45,149,24,61,OG0003816_codon_alignment,0.7676174496644296
91,90,46,49,OG0003818_codon_alignment,1.0770531400966183
49,178,48,82,OG0003817_codon_alignment,0.47027153558052437
330,682,202,257,OG0006004_codon_alignment,0.6156180134142447
37,200,28,89,OG0003979_codon_alignment,0.5880357142857143
41,249,19,89,OG0006002_codon_alignment,0.7712957091523991
111,208,89,104,OG0003980_codon_alignment,0.6235955056179775
226,240,63,90,OG0006001_codon_alignment,1.3452380952380953
246,816,126,369,OG0003981_codon_alignment,0.8828781512605041
976,929,411,323,OG0006000_codon_alignment,0.8256477545643355
240,441,134,226,OG0003982_codon_alignment,0.9178596811859072
423,838,232,364,OG0004006_codon_alignment,0.7919718541683812
1207,876,574,347,OG0003983_codon_alignment,0.8329534787520086
35,88,28,47,OG0004005_codon_alignment,0.6676136363636364
29,92,24,39,OG0003984_codon_alignment,0.5122282608695652
104,279,65,118,OG0004004_codon_alignment,0.6767025089605735
56,134,25,55,OG0003985_codon_alignment,0.9194029850746268
352,624,175,255,OG0004003_codon_alignment,0.8219780219780219
92,241,42,128,OG0003986_codon_alignment,1.16340644141474
208,262,91,112,OG0004002_codon_alignment,0.9770992366412213
82,269,74,128,OG0003987_codon_alignment,0.5272782075756053
206,318,58,113,OG0004001_codon_alignment,1.262090652786814
97,348,45,166,OG0003988_codon_alignment,1.0282247765006387
687,396,341,178,OG0004000_codon_alignment,0.9055807340264819
239,769,152,363,OG0003989_codon_alignment,0.7422233248922044
337,554,186,235,OG0003998_codon_alignment,0.7685551803113233
44,201,34,95,OG0003990_codon_alignment,0.6116476441322798
289,449,130,200,OG0003997_codon_alignment,0.9902347096111016
113,222,49,101,OG0003991_codon_alignment,1.0491818348961206
167,628,131,225,OG0003996_codon_alignment,0.45673895074634124
134,597,63,262,OG0003992_codon_alignment,0.9334503203849936
35,250,18,94,OG0003995_codon_alignment,0.7311111111111112
100,468,57,197,OG0003994_codon_alignment,0.7384915279652122
163,339,89,145,OG0004771_codon_alignment,0.7833681349640383
99,150,40,80,OG0004741_codon_alignment,1.32
192,541,104,218,OG0004770_codon_alignment,0.7439215128679084
124,407,80,209,OG0004742_codon_alignment,0.795945945945946
150,654,86,273,OG0004769_codon_alignment,0.7280776616172392
171,413,150,166,OG0004743_codon_alignment,0.45820823244552056
187,453,108,193,OG0004702_codon_alignment,0.7376952007194832
54,296,38,134,OG0004744_codon_alignment,0.6433143669985776
87,214,41,83,OG0004701_codon_alignment,0.8229997720537953
196,351,76,163,OG0004745_codon_alignment,1.1976308292097766
396,668,243,290,OG0004700_codon_alignment,0.7074739410068751
115,313,69,144,OG0004746_codon_alignment,0.7667731629392971
22,92,5,43,OG0004699_codon_alignment,2.0565217391304347
176,257,95,96,OG0004747_codon_alignment,0.6920335859103011
77,269,52,126,OG0004764_codon_alignment,0.6935945095796396
51,576,53,240,OG0004748_codon_alignment,0.4009433962264151
14,191,18,76,OG0004763_codon_alignment,0.30948225712623617
75,280,39,131,OG0004749_codon_alignment,0.8997252747252747
298,345,117,164,OG0004762_codon_alignment,1.2107518890127587
246,520,218,225,OG0004750_codon_alignment,0.48826746647847563
224,320,97,120,OG0004761_codon_alignment,0.8659793814432989
90,263,43,106,OG0004751_codon_alignment,0.8435759129896542
368,843,226,327,OG0004760_codon_alignment,0.6316253582338677
51,304,33,135,OG0004752_codon_alignment,0.6863038277511961
121,413,82,176,OG0004759_codon_alignment,0.6288312762062246
35,279,28,120,OG0004753_codon_alignment,0.5376344086021505
87,281,44,122,OG0004758_codon_alignment,0.8584600452927855
235,520,69,210,OG0004755_codon_alignment,1.375418060200669
195,550,114,257,OG0004757_codon_alignment,0.7992822966507177
38,241,38,104,OG0004756_codon_alignment,0.4315352697095436
256,252,143,114,OG0005827_codon_alignment,0.8098568098568099
50,206,35,98,OG0005789_codon_alignment,0.6796116504854369
41,425,38,155,OG0005826_codon_alignment,0.3934984520123839
111,251,53,110,OG0005790_codon_alignment,0.9178380816357212
449,892,236,385,OG0005825_codon_alignment,0.821164589192065
77,450,32,176,OG0005791_codon_alignment,0.941111111111111
183,146,60,46,OG0005744_codon_alignment,0.960958904109589
39,306,31,152,OG0005792_codon_alignment,0.624920936116382
192,307,84,151,OG0005743_codon_alignment,1.1242438343415542
87,269,42,129,OG0005793_codon_alignment,0.9933616569304301
148,447,87,184,OG0005742_codon_alignment,0.7002494278587775
149,293,97,140,OG0005794_codon_alignment,0.7339643221561521
163,384,81,164,OG0005741_codon_alignment,0.8594393004115227
39,79,27,47,OG0005795_codon_alignment,0.8593530239099859
36,179,26,90,OG0005820_codon_alignment,0.6961753330468415
264,408,127,185,OG0005796_codon_alignment,0.9425660027790644
20,438,19,195,OG0005819_codon_alignment,0.4686373467916366
67,142,32,60,OG0005797_codon_alignment,0.8846830985915493
73,184,31,94,OG0005815_codon_alignment,1.203015427769986
49,137,30,55,OG0005798_codon_alignment,0.6557177615571776
165,529,94,215,OG0005814_codon_alignment,0.7134094839721674
145,319,85,153,OG0005799_codon_alignment,0.8181818181818181
477,763,211,330,OG0005813_codon_alignment,0.9777443739789928
140,268,50,108,OG0005801_codon_alignment,1.1283582089552238
111,407,43,135,OG0005810_codon_alignment,0.8562367864693445
72,324,49,151,OG0005802_codon_alignment,0.6848072562358276
120,344,79,139,OG0005806_codon_alignment,0.6137768619370032
102,264,69,121,OG0005803_codon_alignment,0.677536231884058
481,879,273,402,OG0005805_codon_alignment,0.8057857955468877
48,269,42,125,OG0005804_codon_alignment,0.5310674455655868
290,305,127,135,OG0005675_codon_alignment,1.0107138247063379
188,464,96,203,OG0005642_codon_alignment,0.8567708333333334
28,285,23,137,OG0005674_codon_alignment,0.5852021357742182
181,290,73,111,OG0005643_codon_alignment,0.949031648559282
385,329,160,124,OG0005673_codon_alignment,0.9069148936170213
62,347,19,139,OG0005644_codon_alignment,1.307143940543
41,147,26,89,OG0005599_codon_alignment,0.9547357404500261
234,424,112,178,OG0005645_codon_alignment,0.877105795148248
89,596,74,282,OG0005598_codon_alignment,0.5690640304734265
67,269,52,105,OG0005646_codon_alignment,0.5029310837861023
145,383,70,171,OG0005597_codon_alignment,0.9248414770607982
105,358,40,136,OG0005647_codon_alignment,0.9972067039106145
196,272,67,92,OG0005595_codon_alignment,0.9894644424934153
77,203,28,81,OG0005648_codon_alignment,1.0972906403940887
285,355,124,144,OG0005667_codon_alignment,0.9323034984098137
85,145,58,87,OG0005649_codon_alignment,0.8793103448275862
127,220,80,96,OG0005666_codon_alignment,0.6927272727272727
338,468,158,177,OG0005650_codon_alignment,0.8090717299578059
6,234,3,91,OG0005665_codon_alignment,0.7777777777777777
158,160,52,54,OG0005651_codon_alignment,1.0254807692307693
209,432,97,209,OG0005664_codon_alignment,1.042406452844597
156,270,91,116,OG0005652_codon_alignment,0.7365079365079364
61,494,36,200,OG0005663_codon_alignment,0.6860098965362124
18,94,13,47,OG0005653_codon_alignment,0.6923076923076923
111,365,76,195,OG0005662_codon_alignment,0.7802811824080751
91,241,38,111,OG0005654_codon_alignment,1.1029700808036689
205,364,91,179,OG0005661_codon_alignment,1.1078070281366985
36,238,28,104,OG0005656_codon_alignment,0.5618247298919568
174,476,105,192,OG0005660_codon_alignment,0.6684273709483793
132,314,61,142,OG0005658_codon_alignment,0.97859454944137
78,267,48,129,OG0005083_codon_alignment,0.7851123595505618
70,174,74,83,OG0005049_codon_alignment,0.45122708915812365
27,77,20,29,OG0005082_codon_alignment,0.5084415584415584
219,371,120,164,OG0005050_codon_alignment,0.8067385444743935
62,483,46,175,OG0005081_codon_alignment,0.4883427851291746
48,108,19,39,OG0005051_codon_alignment,0.9122807017543859
111,206,89,100,OG0005008_codon_alignment,0.6054325297261918
283,757,173,298,OG0005052_codon_alignment,0.6439627064545933
96,613,74,239,OG0005007_codon_alignment,0.5057978043296151
66,232,39,101,OG0005053_codon_alignment,0.736737400530504
268,493,103,207,OG0005006_codon_alignment,1.0924988676421357
102,249,49,83,OG0005054_codon_alignment,0.6938775510204082
206,890,134,398,OG0005005_codon_alignment,0.6874727486164682
116,367,36,126,OG0005055_codon_alignment,1.1062670299727522
17,273,17,139,OG0005075_codon_alignment,0.5091575091575091
53,174,26,89,OG0005057_codon_alignment,1.042661361626879
66,111,35,57,OG0005074_codon_alignment,0.9683397683397683
470,1224,265,542,OG0005058_codon_alignment,0.7853619435195462
66,79,27,45,OG0005073_codon_alignment,1.3924050632911393
170,396,111,152,OG0005059_codon_alignment,0.5878605878605878
287,326,185,142,OG0005072_codon_alignment,0.67574199966838
485,636,228,260,OG0005061_codon_alignment,0.8696071940858435
186,393,121,171,OG0005070_codon_alignment,0.6688537000820137
164,557,128,291,OG0005062_codon_alignment,0.6693783662477558
191,239,126,86,OG0005069_codon_alignment,0.5454605831174869
110,294,74,133,OG0005064_codon_alignment,0.6724581724581725
41,188,37,95,OG0005068_codon_alignment,0.559948246118459
147,457,78,217,OG0005065_codon_alignment,0.8948830163272176
273,542,164,266,OG0005067_codon_alignment,0.816960669606696
137,133,94,66,OG0005066_codon_alignment,0.7232442809150536
26,264,20,117,OG0004290_codon_alignment,0.5761363636363636
205,318,101,159,OG0004258_codon_alignment,1.0148514851485149
95,871,74,364,OG0004289_codon_alignment,0.536506655909641
110,251,45,104,OG0004259_codon_alignment,1.012837538733953
99,247,55,138,OG0004288_codon_alignment,1.005668016194332
318,564,128,207,OG0004260_codon_alignment,0.9118184840425532
272,531,150,239,OG0004287_codon_alignment,0.8161707470182047
1454,1244,1012,571,OG0004261_codon_alignment,0.6594769518193256
77,420,50,129,OG0004213_codon_alignment,0.4729999999999999
120,666,73,268,OG0004262_codon_alignment,0.6614834012094285
961,833,471,336,OG0004212_codon_alignment,0.8229941658191939
9,144,7,68,OG0004263_codon_alignment,0.6071428571428572
230,316,125,137,OG0004211_codon_alignment,0.7977215189873418
416,643,251,298,OG0004264_codon_alignment,0.7681126195064223
114,276,58,129,OG0004210_codon_alignment,0.9186656671664167
68,202,37,74,OG0004265_codon_alignment,0.6732673267326733
260,293,154,127,OG0004282_codon_alignment,0.7317938034661584
127,264,50,123,OG0004266_codon_alignment,1.183409090909091
48,68,37,30,OG0004280_codon_alignment,0.5723370429252782
114,167,39,83,OG0004267_codon_alignment,1.45278673422386
247,479,131,204,OG0004279_codon_alignment,0.8030088128894484
162,517,78,254,OG0004268_codon_alignment,1.0203838714477012
349,438,183,194,OG0004278_codon_alignment,0.8446989545125634
219,342,123,176,OG0004269_codon_alignment,0.9162744259021538
337,498,183,212,OG0004276_codon_alignment,0.7839445212544166
591,546,233,221,OG0004270_codon_alignment,1.0266707541385651
128,338,127,139,OG0004274_codon_alignment,0.41448073428691234
109,320,75,136,OG0004271_codon_alignment,0.6176666666666667
12,190,12,88,OG0004273_codon_alignment,0.46315789473684216
1033,829,540,315,OG0004272_codon_alignment,0.7268797748291114
116,487,71,210,OG0003800_codon_alignment,0.7045145617028661
139,399,114,166,OG0003664_codon_alignment,0.5072769643406763
93,444,59,167,OG0003799_codon_alignment,0.5928767750801649
57,189,25,73,OG0003665_codon_alignment,0.8806349206349207
178,529,109,206,OG0003798_codon_alignment,0.6359237612944625
35,175,16,72,OG0003666_codon_alignment,0.9000000000000001
13,30,7,18,OG0003695_codon_alignment,1.1142857142857143
220,214,105,92,OG0003667_codon_alignment,0.9007565643079661
